30,40,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.
.,.,.,W30x40y30z,EXIT,.,A,.,.,.,.,.,.,W30x40y30z,.
.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,.
.,.,.,.,.,.,W30x40y30z,.,A,W30x40y30z,.,.,.,W30x40y30z,.
.,.,.,W30x40y30z,.,SPAWN,W30x40y30z,.,.,W30x40y30z,.,.,.,W30x40y30z,.
.,.,.,W30x40y30z,.,.,W30x40y30z,W30x40y30z,.,W30x40y30z,.,.,.,W30x40y30z,.
.,.,.,W30x40y30z,.,.,W30x40y30z,W30x40y30z,.,W30x40y30z,.,.,.,W30x40y30z,.
.,.,.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,.,.,.,W30x40y30z,.
.,.,.,W30x40y30z,.,.,.,.,.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,.
W30x40y10z,W30x40y10z,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,.,W30x40y30z,.,.,.,W30x40y30z,.
W30x40y10z,W30x40y10z,.,W30x40y30z,.,.,.,.,.,W30x40y30z,.,.,.,W30x40y30z,.
.,.,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,.,.,.,W30x40y30z,.
W30x40y10z,W30x40y10z,.,W30x40y30z,.,.,W30x40y30z,.,.,.,.,.,W30x40y30z,W30x40y30z,.
.,.,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,.,.,W30x40y30z,.
W30x40y10z,W30x40y10z,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,W30x40y30z,.
W30x40y10z,W30x40y10z,.,W30x40y30z,.,.,W30x40y30z,.,.,A,W30x40y30z,.,.,W30x40y30z,.
.,.,.,W30x40y30z,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,W30x40y30z,.
.,.,.,W30x40y30z,.,.,.,.,W30x40y30z,W30x40y30z,W30x40y30z,.,.,W30x40y30z,.
W30x40y10z,W30x40y10z,.,W30x40y30z,.,A,.,.,.,.,.,.,W30x40y30z,W30x40y30z,.
W30x40y10z,W30x40y10z,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,.,.,W30x40y30z,.
.,.,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,W30x40y30z,.
.,.,.,W30x40y30z,.,.,.,.,W30x40y30z,.,W30x40y30z,.,A,W30x40y30z,.
.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,.,.,W30x40y30z,.,W30x40y30z,W30x40y30z,.
.,W30x40y30z,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,.,W30x40y30z,.
.,.,.,W30x40y30z,.,.,.,.,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,W30x40y30z,.
.,W30x40y30z,.,W30x40y30z,.,.,.,.,.,.,.,.,.,W30x40y30z,.
.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,W30x40y30z,.
.,.,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,.,W30x40y30z,.
.,W30x40y30z,.,W30x40y30z,.,A,W30x40y30z,.,W30x40y30z,A,W30x40y30z,.,W30x40y30z,W30x40y30z,.
.,W30x40y30z,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,.,W30x40y30z,.
.,A,.,W30x40y30z,.,.,.,.,W30x40y30z,.,W30x40y30z,.,A,W30x40y30z,.
W30x40y10z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.
W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.
